symbol	ensgene	chr	start	end	strand	biotype	description	Control_0w1	Control_0w2	Control_0w3	Control_2w1	Control_2w2	Control_2w3	Control_8w1	Control_8w2	Control_8w3	Control_16w1	Control_16w2	Control_16w3	disease_2w1	disease_2w2	disease_2w3	disease_8w1	disease_8w2	disease_8w3	disease_16w1	disease_16w2	disease_16w3	2WAvgreadControl	2W_Avgreaddisease	2W_logConc	2W_pVal	2W_adj.pVal	8WAvgreadControl	8W_Avgreaddisease	8W_logConc	8W_pVal	8W_adj.pVal	16WAvgreadControl	16W_Avgreaddisease	16W_logConc	16W_pVal	16W_adj.pVal
Ung	ENSRNOG00000000692	12	48246569	48254822	-1	protein_coding	uracil-DNA glycosylase 	138.6	87.2	74	81.9	107.2	76.1	67.4	78.9	65.3	92.1	79.1	69.3	98.3	98.4	84.3	85.7	84.2	105.6	72.6	77.6	68.3	88.41347733	93.66643703	0.080687704	0.714635882	1	70.55126252	91.82567135	0.379928372	0.110292914	0.355794099	80.16806828	72.83538725	-0.142	0.571	0.842
Ssh1	ENSRNOG00000000695	12	48403797	48446977	1	protein_coding	slingshot protein phosphatase 1 	404.3	625.3	487.3	473.6	432.7	433	487.2	556	683.1	580.1	687.9	579.3	492.5	503.5	362.4	383.9	579.3	523.1	497.5	472.6	449.4	446.4404482	452.7992386	0.020674276	0.921395556	1	575.4352883	495.4433431	-0.21684399	0.271991201	0.603442676	615.7404389	473.1777109	-0.38	0.0525	0.214
Coro1c	ENSRNOG00000000697	12	48481750	48554052	1	protein_coding	coronin 1C 	2911.9	3923	2835.3	2693.6	2504.4	2751.4	3558.1	3621.7	3627	3482.8	3989.8	2937.1	2514	2593.5	2346.3	1959.8	2975	2271.1	2388.9	2663.4	2482.1	2649.798528	2484.616475	-0.0928	0.625	1	3602.24954	2401.980362	-0.585	0.00213	0.02	3469.940222	2511.470825	-0.466	0.0142	0.0848
Selplg	ENSRNOG00000000699	12	48577905	48579196	1	protein_coding	selectin P ligand 	56.9	46.4	72.1	70.5	58.1	74	65	66.4	63	174.9	60.7	112.3	47.7	80.7	60.9	57.3	74.1	65.5	68	64.7	77.2	67.52732991	63.10379325	-0.095624287	0.695129948	1	64.81124468	65.62059099	0.015521257	0.974178639	1	115.9936557	69.94831216	-0.741	0.00134	0.0147
Tmem119	ENSRNOG00000000700	12	48598647	48605704	1	protein_coding	transmembrane protein 119 	139.6	149.9	111.8	79.9	90.6	128.7	139.3	120.5	137.1	77.8	75	98.5	78	108.7	76.6	97.5	58.1	73.3	64.3	65.7	55.6	99.74487929	87.77097067	-0.180772299	0.423	1	132.3045424	76.31297355	-0.787698288	0.000477	0.00607	83.78572351	61.8796903	-0.434	0.0631	0.243
Iscu	ENSRNOG00000000701	12	48621454	48627297	-1	protein_coding	iron-sulfur cluster assembly enzyme 	490.9	457.1	421.6	405.6	452.8	437.1	447.7	415	455.3	423.6	431.3	512	463.1	410.4	437.4	414.5	431.1	430.2	365.7	418.9	444.4	431.8049033	436.9311244	0.016937623	0.935	1	439.3248631	425.261	-0.046975983	0.817	0.957	455.616854	409.6587222	-0.153	0.439	0.752
Sart3	ENSRNOG00000000702	12	48628278	48656096	1	protein_coding	squamous cell carcinoma antigen recognized by T-cells 3 	460.2	389.7	467	428.1	388.4	399.6	419.3	404.6	417.1	447.6	438.4	384.1	395.2	413.4	411.9	451.6	413.7	413.5	412.2	391	427.2	405.3651814	406.8313105	0.005186027	0.984	1	413.6922965	426.291572	0.043536501	0.831	0.963	423.3789309	410.1370237	-0.0465	0.821	0.962
Cmklr1	ENSRNOG00000000704	12	48789261	48793553	1	protein_coding	chemerin chemokine-like receptor 1 	165.6	256.4	133.2	237.4	154.7	236.3	227.3	394.3	198.4	396.5	228	244.6	71	103.5	66.7	108.7	138.5	125.1	120.6	133.3	102	209.465588	80.36818235	-1.378267852	2.98E-10	0.000000147	273.3369497	124.115417	-1.13991206	7.04E-08	0.00000383	289.7167256	118.6240752	-1.290179804	1.06E-09	0.000000126
Sgsm1	ENSRNOG00000000708	12	49328977	49395125	1	protein_coding	small G protein signaling modulator 1 	120.2	79.5	121.3	129.6	100.9	94.3	75.7	94.8	69.9	79	94.4	95.4	122.6	70.6	132.5	107.2	108.1	112.4	137.7	105.5	105.3	108.2708615	108.5807242	0.002769245	1	1	80.1485377	109.252158	0.446440742	0.050869111	0.211296085	89.6123445	116.1624515	0.376	0.0955	0.321
Cggbp1	ENSRNOG00000000718	11	1896209	1915587	1	protein_coding	CGG triplet repeat binding protein 1 	485.9	688.7	676.5	999.6	805.9	992.8	966	888.2	783.9	719.3	629.4	696.7	786.4	868.3	1033.8	899	644.3	780.2	971.5	693.4	946.8	932.7952922	896.1758461	-0.05770513	0.765878514	1	879.3584199	774.5006763	-0.182633347	0.34440434	0.677555953	681.812225	870.6011735	0.352	0.0686	0.258
MGC95208	ENSRNOG00000000720	11	1814294	1819094	-1	protein_coding	similar to 4930453N24Rik protein 	40.6	54.1	45.7	56.3	41.4	54.8	72.8	57.4	47.5	66.2	46.3	59.8	50.7	51.8	42.2	41.8	59.9	50.8	50.4	57.7	49.8	50.82542779	48.22169369	-0.071676396	0.792	1	59.21001391	50.82241198	-0.22303461	0.393	0.723	57.41572411	52.64210628	-0.129	0.622	0.87
RT1-CE5	ENSRNOG00000000723	20	4892702	4896991	-1	protein_coding	"RT1 class I, locus CE5 "	370.8	119.1	196.5	290.4	155.5	198.8	298.6	275	238.6	525.6	190.1	185	396.2	385.5	447.1	394.8	390.8	381.3	345.6	369.1	374.1	214.8945889	409.6186784	0.931	0.00000411	0.000433137	270.7340399	388.95932	0.523	0.009332013	0.061999916	300.2224204	362.9483446	0.266	0.171	0.465
Clic2	ENSRNOG00000000728	20	295250	310380	1	protein_coding	chloride intracellular channel 2 	137.9	244.9	223.9	240.7	228.8	277.8	236.1	279.1	161.3	293.6	186	301	207.8	309.6	187.5	183.9	261.9	295.3	235	180.1	215.9	249.0910093	234.9500392	-0.083157818	0.682663501	1	225.5110119	247.0478643	0.130463191	0.527121292	0.822952117	260.1990276	210.3438935	-0.309	0.136	0.407
Tmlhe	ENSRNOG00000000729	20	237506	284943	1	protein_coding	"trimethyllysine hydroxylase, epsilon "	167.4	178.3	185	183.7	184.1	167.3	159.7	162.9	195.4	147	162.2	199.2	178.3	172	170.5	192.4	171.5	186.7	183.8	185.1	174.5	178.3982423	173.6338505	-0.039523883	0.858	1	172.654509	183.5212231	0.088411181	0.682	0.901	169.5061153	181.1247416	0.0981	0.656	0.892
RT1-M3-1	ENSRNOG00000000763	20	1814661	1818800	-1	protein_coding	"RT1 class Ib, locus M3, gene 1 "	143.8	149.9	129.5	165.9	151.4	166.3	136.1	156.9	157.3	159.3	170.4	186.7	162.1	167.9	168.3	171.2	127.9	139.8	139.8	157.2	213	161.2111837	166.0920165	0.043308918	0.849	1	150.121397	146.28159	-0.035682201	0.872	0.98	172.1424414	170.0170865	-0.017	0.947	0.998
Ubd	ENSRNOG00000000768	20	1876173	1897814	-1	protein_coding	ubiquitin D 	19.1	3.7	13.3	30.9	16.5	5.1	10.4	4.7	5.7	40.3	3.2	14.8	12.2	8.4	21.8	5.6	23.6	11.7	9.5	7	19.2	17.485253	14.1207175	-0.326	0.445	1	6.928056276	13.66593696	0.942	0.0347	0.163	19.43363023	11.88785312	-0.779	0.0468	0.197
Gabbr1	ENSRNOG00000000774	20	1955359	1984863	-1	protein_coding	gamma-aminobutyric acid type B receptor subunit 1 	1003.3	1297.6	1053.7	1117.3	1010.8	1044.6	1211	1183	1468	1230.9	1164.3	1081.9	1159.2	1177.1	993.4	942.1	1244	1035.4	1028.2	1108.3	1008.4	1057.571752	1109.887477	0.06973129	0.717981856	1	1287.349997	1073.814064	-0.261932941	0.173237887	0.469452953	1159.038911	1048.311672	-0.145	0.451	0.761
Mog	ENSRNOG00000000775	20	2004052	2014286	1	protein_coding	myelin oligodendrocyte glycoprotein 	33	48.5	33.6	27.7	16.9	30.4	32.1	41.1	38.2	16.2	23.6	16.8	36.4	23.9	22.3	18	23.8	13.7	25.8	30.8	21	24.99857334	27.54259218	0.152	0.673	1	37.15338415	18.49687639	-1.01	0.00113	0.0121	18.87938668	25.88402514	0.465	0.17	0.464
RT1-S3	ENSRNOG00000000777	20	3176107	3179818	1	protein_coding	"RT1 class Ib, locus S3 "	184.8	254.2	306.1	279.5	392.7	460.4	241.3	328.4	238.6	1564	592.7	1382.8	223	356.2	184.3	312.7	516.9	402.8	477	341.2	344.5	377.5163571	254.4752056	-0.56769254	0.00459	0.127	269.4311708	410.8059882	0.607054745	0.00251	0.0227	1179.822924	387.5933552	-1.607022671	5.26E-16	1.75E-13
Znrd1as1	ENSRNOG00000000778	20	2077072	2088389	-1	protein_coding	ZNRD1 antisense RNA 1 	99	114.7	177.7	164	185	170.4	125.6	178.3	135.1	166.3	170.4	162.7	172.3	166.9	189.2	150.8	172.5	192.6	175.5	179.1	142.4	173.1278412	176.1130863	0.023896055	0.918176733	1	146.3279858	171.9592479	0.231849816	0.283275732	0.616297299	166.4613899	165.6658538	-0.00648	0.978	1
Znrd1	ENSRNOG00000000779	20	2088533	2092436	1	protein_coding	zinc ribbon domain containing 1 	109.8	88.1	115.8	120.5	101.6	116.6	105.4	132.7	110.3	115.3	115	116.5	142.8	106.8	115.2	123.7	101.7	127.1	125.1	94.5	126.8	112.8871193	121.6257066	0.109	0.633055562	1	116.1069212	117.5021648	0.0185	0.952578784	1	115.5761242	115.4773641	-0.00317	1	1
Ppp1r11	ENSRNOG00000000780	20	2094931	2098433	1	protein_coding	"protein phosphatase 1, regulatory (inhibitor) subunit 11 "	648.4	533.9	575.3	536.7	545	563.9	552.8	511.3	553.1	540.5	588.3	549.9	532	523.3	574.5	484	516.2	490.8	497.9	576.1	564.7	548.5086965	543.2761828	-0.013866139	0.947	1	539.0625289	497.0008051	-0.117264013	0.553	0.839	559.5437518	546.2345605	-0.0344	0.862	0.973
Rnf39	ENSRNOG00000000781	20	2098375	2103864	-1	protein_coding	ring finger protein 39 	76.5	206.2	129.4	149.1	117.3	132.9	105	175.3	227.5	190	228.9	168	152	154.3	118.7	134.4	214.5	133.9	138.7	223.9	143.6	133.0830764	141.6880585	0.091600377	0.690057778	1	169.262147	160.9318674	-0.076572256	0.747776082	0.932788284	195.6278214	168.7079728	-0.211	0.312	0.645
Trim39	ENSRNOG00000000785	20	2500689	2514546	1	protein_coding	tripartite motif-containing 39 	291.5	312	333.2	304	313.6	322.5	352.9	326.6	295.9	313.3	338.8	304.3	337.4	316.1	365.2	369.2	326.5	348.1	346.6	330.3	345.3	313.3435073	339.5867487	0.115895775	0.565	1	325.1593737	347.9063785	0.09804405	0.631	0.88	318.8123876	340.7296587	0.0958	0.636	0.879
Rpp21	ENSRNOG00000000786	20	2515520	2517498	1	protein_coding	ribonuclease P/MRP 21 subunit 	207	175.4	161.9	116.7	119.1	140.9	127.9	137.6	166.1	148.4	159.1	134.4	136.8	147.1	131.8	125.1	139.7	141.8	130	137.3	119.1	125.5712782	138.5841072	0.143335051	0.509	1	143.8807942	135.5295015	-0.087147167	0.709	0.912	147.3126085	128.8060508	-0.193	0.372	0.702
RT1-T24-2	ENSRNOG00000000787	20	3242470	3249189	1	protein_coding	"RT1 class I, locus T24, gene 2 "	9.9	23.9	14.6	19.7	17.3	17.2	9.8	22.6	14.7	96.7	42.2	22.3	14.2	10.4	12.2	15.2	32.3	11.7	20.1	25.9	24.2	18.07176828	12.25268466	-0.556665678	0.137534698	0.970676363	15.67943605	19.75084909	0.313060295	0.405533692	0.732691352	53.73367077	23.3969879	-1.223507464	0.0000163	0.000474817
RT1-N3	ENSRNOG00000000795	20	3167079	3170945	1	protein_coding	"RT1 class Ib, locus N3 "	123.2	73.8	80.5	102.8	77.1	80.1	64.5	114.1	98.8	230.6	108.9	93.6	79.1	98.4	76.5	100.4	109.1	98.7	72.1	99.5	126.5	86.67304964	84.65053205	-0.033543103	0.904276021	1	92.49280743	102.7233437	0.149574817	0.517036859	0.817150121	144.3858993	99.33312588	-0.55	0.0135	0.0813
Ranbp2	ENSRNOG00000000796	20	28027054	28076664	1	protein_coding	RAN binding protein 2 	1971.3	3899.3	3800.1	4080.1	4013.3	4059.6	5081.5	4477.9	4203.9	4001.2	3926.3	3798.5	4101.9	4067	4424.3	4211.6	3992.7	4086.7	4409.7	3891.1	4409.6	4050.97488	4197.739265	0.051330635	0.787	1	4587.794279	4097.035261	-0.163186141	0.389	0.719	3908.638921	4236.79928	0.116	0.539	0.825
Gnl1	ENSRNOG00000000798	20	3287506	3299580	-1	protein_coding	G protein nucleolar 1 	621.2	474.1	566.3	524.2	578.4	535.5	452.7	463.2	575.3	565	537	480.7	544.1	498.4	535.9	514.1	505.4	549.5	586.4	512.4	529.1	546.0173727	526.1473774	-0.053644944	0.787314646	1	497.0796792	522.9856846	0.073217657	0.712176737	0.914461635	527.5419162	542.6156631	0.04	0.839	0.967
Abcf1	ENSRNOG00000000799	20	3309899	3322825	1	protein_coding	ATP binding cassette subfamily F member 1 	935.9	803.3	778.3	766.8	728.1	757.6	896.5	783	891.5	969.7	824.5	751.4	785.3	857.9	861.4	779.3	852.3	723.5	775.1	721.3	777.2	750.8371812	834.8751539	0.153025398	0.429	1	856.9900114	785.019055	-0.126621316	0.514	0.816	848.5238689	757.887389	-0.164	0.4	0.726
Man1a1	ENSRNOG00000000800	20	35257985	35450513	-1	protein_coding	"mannosidase, alpha, class 1A, member 1 "	1036.8	909.4	1168.1	1079.8	1040.2	1007.1	925.9	887.1	813	943.8	799.9	991.5	815.8	1074.4	988.7	1098.7	1037	1050	1092.2	893.4	980.6	1042.365881	959.6250701	-0.119408411	0.536	1	875.3484221	1061.891567	0.278785497	0.149	0.428	911.7343517	988.7370898	0.117	0.545	0.829
Msl3l2	ENSRNOG00000000801	20	37587687	37589198	1	protein_coding	male-specific lethal 3-like 2 (Drosophila) 	92	75.8	88	73.2	61.3	71	65.2	94.6	61	125	84.3	97.6	64.9	73.5	71.9	71.2	73.1	77.2	74	87.6	86.5	68.50142912	70.11904113	0.034479366	0.908621145	1	73.60461781	73.8522336	0.004580792	1	1	102.2881167	82.7049026	-0.311	0.182	0.482
Tbc1d32	ENSRNOG00000000802	20	37465278	37700937	-1	protein_coding	"TBC1 domain family, member 32 "	199.8	178.2	248.3	216.5	265.8	240.4	226.7	217.8	210.3	144.3	190.9	178.4	260.4	235.3	327.4	280	234.8	265	251.7	223.8	265.5	240.8586446	274.3709793	0.187004187	0.355080295	1	218.2702201	259.9199271	0.25262003	0.222343185	0.542669774	171.1806286	247.0072622	0.531	0.0105	0.0678
Mrps18b	ENSRNOG00000000804	20	3344870	3350927	1	protein_coding	mitochondrial ribosomal protein S18B 	264.9	204.8	210.9	286.4	275.8	221.1	239.8	223.6	248.4	271.1	274.1	251.9	269.5	278.7	260.3	324.1	217.5	267.9	198.4	250.7	288.3	261.1166019	269.5070352	0.044843349	0.827	1	237.2689768	269.8159378	0.186818976	0.369	0.701	265.7057964	245.8183625	-0.112	0.586	0.853
Gja1	ENSRNOG00000000805	20	37876650	37889089	1	protein_coding	"gap junction protein, alpha 1 "	420	451.5	467	324.9	485.9	588.1	491.7	380.5	281.6	371.6	374.8	530.7	352.7	444.5	407.4	397.2	398.5	493.8	262.9	353.2	399.1	466.3071449	401.5162104	-0.215330595	0.274979973	1	384.6232801	429.8307243	0.160562541	0.421630218	0.743690338	425.7224552	338.4271098	-0.33	0.0962	0.323
Hsf2	ENSRNOG00000000808	20	38935820	38963309	1	protein_coding	heat shock transcription factor 2 	97.3	156.7	129.3	182	154.6	162.3	191.2	172	173.2	142	124.3	141.6	135.8	147.1	143.9	142.6	139.7	122.2	170.4	134.3	118.2	166.2931113	142.2808285	-0.224804234	0.294	1	178.8033047	134.8117	-0.40667738	0.0565	0.227	135.9696504	140.9707143	0.0506	0.821	0.962
Atat1	ENSRNOG00000000809	20	3351303	3364565	1	protein_coding	alpha tubulin acetyltransferase 1 	521.9	391.6	409.3	384.1	445.7	428	419	381.7	339.8	339.5	356.3	403.9	436.7	353.4	462.6	405.1	390.8	427.3	459.9	400	398.6	419.263218	417.5919624	-0.006009465	0.981	1	380.1565413	407.7251393	0.101226235	0.615	0.871	366.5534914	419.4896798	0.195	0.328	0.662
Pkib	ENSRNOG00000000811	20	40618128	40712592	1	protein_coding	cAMP-dependent protein kinase inhibitor beta 	81.4	31	71.1	72.2	67.7	78.1	81.2	65.5	63.1	54.8	43.2	48.3	63.8	42.6	81.5	52.8	100.9	47.8	68.9	56.7	60.1	72.67060778	62.66371743	-0.213905193	0.38	1	69.90814618	67.19469519	-0.063343127	0.852	0.971	48.73679657	61.89829922	0.337	0.18	0.48
RGD1302996	ENSRNOG00000000812	20	3364814	3368923	1	protein_coding	hypothetical protein MGC:15854 	128.2	86.2	79.5	92.7	98	97.4	68.8	72.4	94.1	100.4	98.6	81.9	70	103.6	99.5	97	86.3	98.8	80.1	111.4	102.7	96.00339642	91.00991981	-0.078015442	0.754771848	1	78.43070188	94.0443741	0.261940809	0.26855489	0.5996027	93.61821177	98.06863522	0.0663	0.789	0.953
Smpdl3a	ENSRNOG00000000815	20	40778927	40800868	1	protein_coding	"sphingomyelin phosphodiesterase, acid-like 3A "	120.4	381.7	288.6	270.2	267.8	261.7	257.6	294.2	230.7	330.3	234.2	484.4	327.3	438.1	265	304	238.2	300.2	305.4	266.6	272.7	266.5316076	343.4929256	0.366085149	0.068546407	0.716574676	260.8468289	280.7938163	0.107185586	0.609858347	0.870196996	349.6590827	281.5618127	-0.312	0.121	0.377
Ppp1r18	ENSRNOG00000000816	20	3372413	3397039	-1	protein_coding	"protein phosphatase 1, regulatory subunit 18 "	509.1	722	538.7	558.3	432.3	538.5	638.1	720.8	688.1	874.5	711.6	639.2	417.5	460	375.5	417.6	626.1	449.7	482.5	487.5	504.7	509.6989379	417.6759339	-0.286666997	0.144651199	0.993288688	682.31401	497.7818518	-0.455672718	0.02010569	0.109507274	741.730869	491.5584313	-0.594	0.00237	0.022
Nrm	ENSRNOG00000000818	20	3397834	3401315	-1	protein_coding	nurim (nuclear envelope membrane protein) 	90.5	78.7	64.9	71.6	49.3	56.8	63.8	65.3	66.3	103.9	80.1	62.1	50.7	54.9	40.1	49.8	43.8	54.8	53.6	49.7	37.3	59.24507114	48.53067517	-0.284582267	0.246	1	65.16707568	49.4438393	-0.395733643	0.113	0.362	82.02787037	46.88581146	-0.813	0.00102	0.012
Gcc2	ENSRNOG00000000823	20	27832932	27879759	1	protein_coding	GRIP and coiled-coil domain containing 2 	954.9	864.8	1292.7	1464.2	1386.2	1303.2	1182.2	943.6	1141.1	1049.1	947.7	1089.1	1605.1	1482.8	1762.5	1713.7	1217.3	1365.8	1524.5	1269.5	1682.4	1384.514042	1616.805559	0.223651176	0.241669662	1	1088.952621	1432.247506	0.395584221	0.039465034	0.178099214	1028.635784	1492.152175	0.536	0.00518	0.0399
Dse	ENSRNOG00000000824	20	27703732	27782586	-1	protein_coding	dermatan sulfate epimerase 	447.7	694.5	549.7	611.8	499.5	606.4	741.8	712.9	710.6	846.6	649	665.3	471.2	563.6	395.6	390.9	555.3	461.5	439.3	468.6	482.7	572.5700614	476.7858599	-0.263530352	0.178	1	721.7639849	469.2254473	-0.621821044	0.00152	0.0153	720.3037431	463.5218498	-0.637	0.00115	0.0132
Fam26e	ENSRNOG00000000825	20	27651312	27657983	-1	protein_coding	"family with sequence similarity 26, member E "	6.6	11.4	15.4	9.8	6.9	12.2	18.9	18.3	16.9	12	14.4	24	9.1	20.6	7.9	13.8	18.4	6.8	10.7	8	20.4	9.612599672	12.55828228	0.397428228	0.397382389	1	18.04022363	12.97763737	-0.475985209	0.236835324	0.560619013	16.8064518	12.99560494	-0.356	0.324	0.658
Flot1	ENSRNOG00000000826	20	3427880	3438396	-1	protein_coding	flotillin 1 	813.1	827.1	813.9	761.5	640.9	759.6	764.6	707.6	1057.4	756.1	928.1	842.6	787.3	778.1	676.7	728.3	1070.3	756.7	748.4	882.5	755.5	720.6865379	747.3916699	0.052785482	0.788426742	1	843.1873277	851.7611252	0.014011877	0.94218723	0.999301738	842.2637416	795.4846488	-0.0818	0.671	0.9
Ier3	ENSRNOG00000000827	20	3438798	3440769	-1	protein_coding	immediate early response 3 	268.4	324.4	332.1	318.3	322.3	324.5	497.2	374.2	557.3	406.7	455.8	383.1	434.7	543.9	379	471	675.1	388	375.4	529.3	543.6	321.686037	452.5202921	0.492361499	0.0130594	0.273603367	476.2149097	511.3719855	0.101934453	0.60421077	0.868377857	415.2015665	482.7765462	0.218	0.271	0.599
Gtf2h4	ENSRNOG00000000831	20	3582742	3588375	1	protein_coding	general transcription factor 2H subunit 4 	111.5	99.5	104.8	98	94.6	107.5	116	138.5	128.2	136.9	133.5	109.2	143.9	123.3	126.3	100.3	119.9	101.7	106.8	119.4	120	100.0439458	131.1674737	0.391483809	0.0761	0.759	127.5647767	107.284088	-0.250906504	0.259	0.588	126.5274451	115.3955658	-0.134	0.56	0.837
Vars2	ENSRNOG00000000833	20	3588497	3599514	1	protein_coding	"valyl-tRNA synthetase 2, mitochondrial "	367	309.2	276.7	297.7	346.4	276.9	255.2	226.1	283.1	274.6	310	292.8	290.8	342.9	278.1	316.9	257.8	304.1	354.5	335.3	283.3	307.0138995	303.9337923	-0.015134851	0.948030495	1	254.7769285	292.9180205	0.201821393	0.320938077	0.6553307	292.4745423	324.3795653	0.15	0.461	0.768
Nfkbil1	ENSRNOG00000000839	20	4822935	4839202	1	protein_coding	NFKB inhibitor like 1 	182.6	122.2	133.9	132.9	123.9	123.7	111.5	138.6	149.3	116.5	160.1	133.3	131.7	150.2	115.4	152	145.2	143.7	112.8	159.2	131.7	126.8568061	132.4228868	0.062229509	0.775240058	1	133.1320854	146.9609129	0.142367421	0.519932887	0.818344921	136.6344141	134.5876639	-0.0171	0.934	0.993
Atp6v1g2	ENSRNOG00000000840	20	4821285	4823494	-1	protein_coding	ATPase H+ transporting V1 subunit G2 	8.5	14.4	1.3	5.2	8.7	12.1	1.4	3.5	8.8	9.4	10.2	5.3	5.1	8.2	2.3	6	6.6	6.8	10.2	7	0.2	8.675300292	5.215623131	-0.703752373	0.16	1	4.553039598	6.455198216	0.477137867	0.5	0.807	8.319328286	5.787292326	-0.509	0.401	0.726
Ddx39b	ENSRNOG00000000841	20	4806108	4818568	-1	protein_coding	DExD-box helicase 39B 	4430.5	4214.9	4005.8	3895.5	3857.7	3695.5	4165.3	4027.5	4461.1	4144.2	4065.9	4115.4	4327.9	3997.6	3940.6	3774.6	4302.5	3689.8	3645.5	4329.9	4087.4	3816.266161	4088.691609	0.099466511	0.6	1	4217.965613	3922.287593	-0.104884404	0.58	0.855	4108.484654	4020.937514	-0.0311	0.87	0.975
Ddah2	ENSRNOG00000000842	20	5049496	5052585	1	protein_coding	dimethylarginine dimethylaminohydrolase 2 	316.7	311.2	222.3	249.5	236.5	337.7	362.5	307.4	359.7	358.1	293.6	194.4	317.2	354.3	240.6	293.5	318.6	287.4	313.6	271.6	278.4	274.5291383	304.0241295	0.148866464	0.463863339	1	343.1997462	299.8380122	-0.194977973	0.334704737	0.668098962	282.0336093	287.8732814	0.0261	0.894	0.981
Ly6g6c	ENSRNOG00000000843	20	5057701	5059933	1	protein_coding	"lymphocyte antigen 6 complex, locus G6C "	14.7	6.6	12.2	7	12.8	12.2	8.4	11.4	11.2	8.8	8.2	4.3	14.2	5.2	7.8	11.9	16.3	13.7	9.6	14.9	12.7	10.64951662	9.068273671	-0.226712472	0.648704965	1	10.34582129	13.96112087	0.421298282	0.345143129	0.678227202	7.101165113	12.39512244	0.774	0.0763	0.276
Ly6g6d	ENSRNOG00000000844	20	5061658	5064469	-1	protein_coding	"lymphocyte antigen 6 complex, locus G6D "	14.4	13.2	19.9	19.5	34.1	10.2	9.5	12.5	9.1	10.9	16.4	14.7	12.2	8.3	10	25.4	4.7	18.6	38.8	11.9	15.3	21.27306355	10.14960149	-1.077964094	0.003704188	0.107703139	10.36104575	16.20553217	0.666658356	0.133798161	0.402737467	13.98092423	22.02735683	0.657	0.0659	0.251
Csnk2b	ENSRNOG00000000847	20	5106890	5113112	-1	protein_coding	casein kinase 2 beta 	856.7	758.7	757.1	754.3	672.6	794.1	687.4	660.2	639.8	696.5	627.4	738.6	678.9	733.6	651.2	647.1	694.1	603.2	504.2	754.2	679	740.3306414	687.8827071	-0.105743528	0.586	1	662.462295	648.1354582	-0.031590243	0.874	0.98	687.5057926	645.7803478	-0.09	0.644	0.883
Gpank1	ENSRNOG00000000848	20	5113339	5116382	1	protein_coding	G patch domain and ankyrin repeats 1 	208	152.6	167.3	201.9	160.2	135.9	91.5	127	124.6	155.5	156.1	175.2	187.4	167.9	150.8	150	162.6	176	162.8	162.2	168.6	166.0074474	168.6910291	0.022649473	0.926	1	114.3718007	162.8883609	0.508745041	0.0187	0.103	162.2429878	164.5179096	0.0207	0.933	0.993
Apom	ENSRNOG00000000850	20	5120474	5123073	-1	protein_coding	apolipoprotein M 	18.4	28.5	27.8	26.8	27	20.3	7.6	25.9	16.9	31.8	25.7	17.9	19.3	21.8	27.5	21.3	18.7	31.3	32.4	19.9	24.3	24.6989381	22.85695219	-0.119306858	0.747787535	1	16.78394771	23.79149621	0.496818094	0.148176696	0.427776754	25.14767274	25.54786829	0.000119	1	1
Bag6	ENSRNOG00000000851	20	5125349	5138084	1	protein_coding	BCL2-associated athanogene 6 	2947.4	2486.8	2420.5	2290.5	2387.9	2264.6	2262.3	2235	2508.1	2394.5	2623.3	2413.4	2362	2320	2448	2368	2420.9	2344.5	2223.8	2462.4	2267.3	2314.334726	2376.679929	0.038307956	0.841	1	2335.15168	2377.787781	0.026089768	0.892	0.985	2477.086635	2317.837395	-0.0958	0.615	0.866
Prrc2a	ENSRNOG00000000852	20	5139882	5155293	-1	protein_coding	proline-rich coiled-coil 2A 	8111.6	7609.4	6618	6716.6	6601.7	6287.7	7302.8	6726.7	8147.5	8060	8039.4	7126.9	6673.7	6471	6574.6	6525.3	7472.2	6745.1	6699.1	7325.6	6539.6	6535.346667	6573.076306	0.00829433	0.965	1	7392.348336	6914.203621	-0.096490473	0.61	0.87	7742.08421	6854.776811	-0.176	0.353	0.685
Aif1	ENSRNOG00000000853	20	5161333	5166448	-1	protein_coding	allograft inflammatory factor 1 	69.3	90.1	100.1	90.7	80.7	146	85.1	102.8	70	225	84.4	165.8	83.1	129.4	81.1	63.3	86	70.4	59.1	78.6	104.5	105.779072	97.85260271	-0.106890816	0.63315305	1	85.95801979	73.22284098	-0.23361497	0.335595339	0.669252239	158.3674383	80.73936919	-0.977925884	0.0000115	0.000360671
Ncr3	ENSRNOG00000000854	20	5170215	5175773	1	protein_coding	natural cytotoxicity triggering receptor 3 	6.8	2.8	8.8	6.2	8.1	4.1	2.4	1.2	4.4	12.3	10.3	5.3	9.1	11.4	6.7	6.8	5.6	12.8	13.7	8	6	6.122534957	9.077976578	0.544228213	0.287	1	2.68081683	8.357808159	1.595653123	0.0113	0.0714	9.304433999	9.222077351	-0.0467	1	1
Lst1	ENSRNOG00000000855	20	5176016	5179263	-1	protein_coding	leukocyte specific transcript 1 	7.7	6.6	4.6	9.1	3.7	5.1	6	11.2	3.5	18	5.2	2.2	15.2	8.3	7.9	14.7	8.8	12.7	13.9	7	11.5	5.960997717	10.45277971	0.808311064	0.0936	0.831	6.905757606	12.09421559	0.808305887	0.0878	0.309	8.457511948	10.77475046	0.245	0.476	0.78
